Square,AADT_count,AADT_unique,AADT_min,AADT_max,AADT_range,AADT_sum,AADT_mean,AADT_median,AADT_stddev,AADT_minority,AADT_majority,AADT_q1,AADT_q3,AADT_iqr
7,2,2,1901,2921,1020,4822,2411,2411,510,1901,1901,1901,2921,1020
8,3,3,561,11232,10671,14714,4904.666667,2921,4576.662564,561,561,1741,7076.5,5335.5
12,3,3,1901,2971,1070,7793,2597.666667,2921,493.040454,1901,1901,2411,2946,535
13,1,1,561,561,0,561,561,561,0,561,561,561,561,0
18,2,2,681,1722,1041,2403,1201.5,1201.5,520.5,681,681,681,1722,1041
19,2,2,681,1901,1220,2582,1291,1291,610,681,681,681,1901,1220
20,1,1,2971,2971,0,2971,2971,2971,0,2971,2971,2971,2971,0
21,1,1,561,561,0,561,561,561,0,561,561,561,561,0
31,1,1,2971,2971,0,2971,2971,2971,0,2971,2971,2971,2971,0
41,1,1,1901,1901,0,1901,1901,1901,0,1901,1901,1901,1901,0
42,2,2,1901,15830,13929,17731,8865.5,8865.5,6964.5,1901,1901,1901,15830,13929
43,2,2,1491,15830,14339,17321,8660.5,8660.5,7169.5,1491,1491,1491,15830,14339
55,2,1,64785,64785,0,129570,64785,64785,0,64785,64785,64785,64785,0
56,2,2,7391,19812,12421,27203,13601.5,13601.5,6210.5,7391,7391,7391,19812,12421
57,3,3,7391,15830,8439,32322,10774,9101,3642.652605,7391,7391,8246,12465.5,4219.5
58,1,1,15830,15830,0,15830,15830,15830,0,15830,15830,15830,15830,0
59,3,3,941,15830,14889,18672,6224,1901,6803.764987,941,941,1421,8865.5,7444.5
70,6,6,1881,64785,62904,122881,20480.16667,16831,21026.20815,1881,1881,2741,19812,17071
71,11,10,1881,64785,62904,183858,16714.36364,5401,20619.28886,1881,5401,3346,17821,14475
72,3,3,941,52294,51353,57186,19062,3951,23530.68058,941,941,2446,28122.5,25676.5
73,4,4,941,52294,51353,59087,14771.75,2926,21690.7453,941,941,1421,28122.5,26701.5
1,1,1,12970,12970,0,12970,12970,12970,0,12970,12970,12970,12970,0
3,3,3,5320,12970,7650,26130,8710,7840,3183.111685,5320,5320,6580,10405,3825
6,2,2,5320,7840,2520,13160,6580,6580,1260,5320,5320,5320,7840,2520
9,2,2,2891,11232,8341,14123,7061.5,7061.5,4170.5,2891,2891,2891,11232,8341
10,3,3,5320,11232,5912,24392,8130.666667,7840,2422.299367,5320,5320,6580,9536,2956
14,1,1,2891,2891,0,2891,2891,2891,0,2891,2891,2891,2891,0
15,2,2,5320,7840,2520,13160,6580,6580,1260,5320,5320,5320,7840,2520
22,1,1,2891,2891,0,2891,2891,2891,0,2891,2891,2891,2891,0
23,2,2,5320,7840,2520,13160,6580,6580,1260,5320,5320,5320,7840,2520
32,2,2,561,2971,2410,3532,1766,1766,1205,561,561,561,2971,2410
33,2,2,2891,15830,12939,18721,9360.5,9360.5,6469.5,2891,2891,2891,15830,12939
